Estación,Retiros,Arribos,Genero M,Genero F,Edad Promedio
1,8448,8804,6095,2284,38.32871685606061
10,4117,3477,3050,874,35.86227835802769
100,1184,1364,818,323,37.11570945945946
102,1205,1298,886,277,37.95186721991701
103,4093,4109,3075,1011,34.5201563645248
104,1277,1286,905,332,36.017227877838685
105,881,894,651,196,37.28490351872872
106,3406,3538,2689,684,37.35261303581914
107,4207,4206,3242,925,37.65771333491799
108,1484,1369,1189,263,35.97708894878706
109,1612,1778,1311,291,37.49379652605459
11,4061,4219,3114,914,37.82664368382172
110,2096,2409,1532,533,37.11879770992366
111,4255,3988,2894,1347,34.80587544065805
112,2154,2255,1517,595,40.40204271123491
113,3411,3336,2788,605,36.24508941659337
114,3039,2941,2272,727,37.003290556103984
115,3905,3851,2933,873,35.16338028169014
116,3417,3975,2459,879,36.39127889961955
117,3202,3478,2417,703,34.76296064959401
118,2433,2644,1700,686,34.933826551582406
119,4591,4389,3548,989,36.19407536484426
12,2738,2785,2072,626,38.01241782322863
120,2880,2812,1915,888,36.1125
121,3532,3747,2705,748,36.46545866364666
122,1477,1603,1159,301,38.66079891672309
123,3954,3675,2920,990,37.380121396054626
124,5319,5558,4137,1153,37.40853543899229
125,4770,4030,3262,1451,35.422641509433966
126,3395,3930,2613,734,35.78468335787923
127,2338,2255,1547,710,34.6437125748503
128,3194,3221,2270,774,36.82842830306825
129,2961,3121,2054,832,35.502532928064845
13,1134,1201,744,265,35.98765432098765
130,2381,2698,1685,620,35.81772364552709
131,3001,3342,1881,948,35.47717427524159
132,2240,2329,1385,782,37.809375
133,4320,4589,3158,1106,36.150231481481484
134,4717,5516,3150,1372,35.624125503497986
135,4766,4698,3162,1515,34.819765002098194
136,6002,6269,3914,1928,34.6434521826058
137,3462,3440,2326,1040,36.78682842287695
138,3132,3080,2385,718,34.69508301404853
139,3055,3292,2268,715,34.15941080196399
14,4899,5072,3374,1103,35.928352725045926
140,2876,2857,1781,1042,34.724269819193324
141,5295,5731,3707,1406,36.46062322946176
142,3821,4184,2783,911,33.667887987437844
143,2596,2786,1696,874,35.02773497688752
144,3350,3812,2385,922,34.504179104477615
145,4582,4775,2991,1497,37.17263203841117
146,5615,5759,4021,1510,36.02974176313446
147,2220,2344,1488,686,36.564414414414415
148,1626,1733,1130,486,34.25830258302583
149,4535,4754,3277,1244,34.96957001102536
15,3452,3454,2409,847,36.75550405561993
150,4465,4901,3050,1326,37.29652855543113
151,4441,4510,3101,1290,36.75298356226075
152,2389,2445,1631,735,37.54039347007116
153,2723,2462,1775,907,36.07051046639736
154,4060,3636,2970,1075,34.306650246305416
155,1909,1926,1490,402,39.58931377684652
156,2415,2387,1575,812,35.68033126293996
157,1372,1441,994,369,36.714285714285715
158,3396,3480,2401,977,35.33480565371025
159,3525,3777,2484,1004,35.31063829787234
16,2785,2599,1695,741,35.92315978456014
160,1603,1453,1238,355,36.381160324391765
161,2433,2165,1560,863,34.99260172626387
162,3178,3139,1903,1256,35.538703587161734
163,3474,3948,2353,1104,35.79274611398964
164,3605,3635,2641,933,36.96893203883495
165,3418,3458,2096,1288,34.58689291983616
166,2134,2056,1542,584,35.358950328022495
167,2769,2257,1909,851,36.723726977248106
168,2535,2569,1742,768,36.738461538461536
169,3075,3200,2364,687,36.048455284552844
17,3388,3814,2182,806,36.54486422668241
170,2526,2441,1859,652,36.54671417260491
171,2401,2362,1805,575,38.0932944606414
172,2672,2656,1858,795,36.46818862275449
173,2897,2861,2092,783,34.240938902312735
174,5623,5412,4027,1575,36.237773430553084
175,1432,1425,1052,356,34.96717877094972
176,880,1445,702,177,37.4625
177,2298,2252,1667,601,37.1201044386423
178,1998,1801,1325,664,37.368368368368365
179,3648,3582,2391,1222,34.82154605263158
18,5740,5282,3818,1512,35.250522648083624
180,3651,3583,2380,1213,34.852369213913995
181,3177,3114,2279,858,36.756688700031475
182,7114,7103,4708,2334,34.33286477368569
183,4544,4275,3006,1523,35.62147887323944
184,2020,1987,1413,535,37.445544554455445
185,3034,2712,2140,866,35.14765985497693
186,2469,2421,1423,978,35.77845281490482
187,2903,2883,1969,909,36.77264898380985
188,1573,1527,1042,496,35.311506675143036
189,1419,1287,902,502,35.50387596899225
19,3014,2770,2073,777,35.11877903118779
190,1561,1548,1272,262,37.97629724535554
191,1701,1595,1152,524,37.09582598471487
192,2273,2243,1485,622,36.0224373075231
193,570,516,375,134,35.27894736842105
194,5192,5212,2968,1514,34.89657164869029
195,3335,3306,1502,938,33.952923538230884
196,1098,1082,850,218,35.28142076502732
197,3839,4144,2716,799,34.57098202656942
198,1083,925,788,273,35.75623268698061
199,591,465,384,197,39.55668358714044
2,2744,2612,1685,1033,36.525145772594755
20,3542,3443,2330,936,35.55702992659514
200,1318,1176,949,348,33.66995447647952
201,1134,1052,883,245,34.1305114638448
202,1027,974,681,317,37.105160662122685
203,751,585,567,170,36.95472703062583
204,1713,1828,1275,414,34.750145942790425
205,1961,2114,1416,534,36.787863335033144
206,3202,3221,2164,976,35.03966271080574
207,1564,1592,1280,272,39.186700767263424
208,1758,1626,1257,485,35.363481228668945
209,1455,1347,955,476,36.18900343642612
21,2915,1667,1827,924,35.46758147512865
210,1394,1243,994,378,33.907460545193686
211,4073,3816,2885,1145,36.20058924625583
212,2034,2096,1360,633,36.163716814159294
213,470,164,313,148,36.47234042553192
214,806,630,508,270,36.15136476426799
215,991,866,772,193,36.660948536831484
216,1360,1278,884,423,34.99411764705882
217,4039,4376,2964,978,35.93983659321614
218,889,827,560,293,37.382452193475814
219,1429,1148,1009,408,33.671098670398884
22,2116,1654,1312,633,35.37287334593573
220,454,311,320,127,37.209251101321584
221,1161,1033,861,250,35.397071490094746
222,1586,1645,1110,394,34.544136191677175
223,2052,1785,1390,552,35.505847953216374
224,1150,1096,890,227,39.92956521739131
225,1278,1238,876,353,35.49452269170579
226,1341,1332,1101,215,36.71439224459359
227,1073,855,801,272,37.18546132339236
228,1349,1255,948,376,37.46108228317272
229,700,621,445,251,36.02857142857143
23,3064,2878,2120,741,37.39033942558747
230,1289,1173,852,373,38.365399534522886
231,1235,1244,864,316,35.9336032388664
232,1601,1502,1160,373,36.21736414740787
233,2199,2264,1272,661,35.89677125966348
234,1363,1281,969,344,36.322817314746885
235,964,800,700,253,34.78423236514523
236,1485,757,1047,426,35.691582491582494
237,2472,2046,1711,654,35.2334142394822
238,2313,1844,1560,678,35.278426286208386
239,1337,1310,969,358,36.94091249065071
24,5569,5688,4096,1103,35.520560244209015
240,995,664,696,257,36.99899497487437
241,1406,1343,1111,264,32.33428165007113
242,2495,2521,1758,675,34.34549098196393
243,1066,953,748,303,35.93808630393996
244,960,870,764,178,34.94166666666667
245,1010,953,813,189,33.13267326732673
246,1684,1603,1372,307,35.92161520190024
247,876,965,692,152,33.14269406392694
248,1990,1691,1501,473,39.78391959798995
249,1191,1055,854,280,36.56255247691016
25,4594,4772,2974,1065,35.14867218110579
250,1480,1415,1102,336,35.418243243243246
251,1737,1590,1287,444,35.879677605066206
252,1263,1107,908,338,36.304038004750595
253,1976,1948,1499,434,37.772267206477736
254,3571,3644,2552,1013,37.66171940632876
255,2425,2478,1793,607,35.16948453608247
256,3669,2848,2747,912,36.43717634232761
257,2273,2270,1975,271,39.787945446546416
258,2869,2734,1936,842,36.20634367375392
259,2134,2261,1606,495,37.95548266166823
26,3074,3302,2248,610,37.35426154847105
260,2169,2163,1730,338,33.76947902259106
261,967,911,557,253,34.95656670113754
262,1858,2110,1421,352,36.135091496232505
263,1992,1632,1639,346,35.825301204819276
264,758,595,530,223,36.14379947229551
265,1688,1778,1230,398,34.59715639810427
266,4727,7761,3912,793,36.914956632113395
267,1733,2858,1413,312,38.04443162146567
268,967,883,680,287,35.46018614270941
269,815,911,577,234,36.11042944785276
27,7867,7975,5596,1816,35.41642303292233
270,4256,4505,2934,1060,36.14473684210526
271,8468,8841,6911,1481,35.71610769957487
272,4084,3752,3310,761,36.258325171400585
273,1192,1149,897,284,35.18708053691275
274,2598,3224,1898,687,36.59314857582756
275,436,465,345,86,33.038990825688074
276,4528,4931,3570,914,33.34849823321555
277,1961,2026,1528,421,35.26211116777154
278,1321,1347,998,319,37.260408781226346
279,1199,1078,852,341,37.528773978315265
28,5393,5739,4085,1200,38.88726126460226
280,1945,2726,1475,444,35.35526992287918
281,2847,2986,2123,709,36.672989111345274
282,1251,1282,960,288,33.95203836930455
283,1317,1264,947,363,36.017463933181475
284,1604,1639,1059,527,34.40274314214464
285,1512,1183,942,562,35.87566137566137
286,3343,2980,2287,1033,37.47262937481304
287,1628,1395,1181,421,36.88943488943489
288,1923,1928,1351,566,34.94487779511181
289,849,793,487,356,33.89517078916372
29,3567,4352,2298,994,35.35856462012896
290,1710,1967,985,699,34.14327485380117
291,2939,2923,2002,915,35.0108880571623
292,1957,2233,1509,437,35.06336228921819
293,1468,1518,1064,396,35.485694822888284
294,1049,947,871,175,36.63489037178265
295,5181,5823,3853,1308,34.78575564562826
296,1748,1707,1476,261,33.60469107551487
297,3364,3393,2348,1001,37.8026159334126
298,1755,1721,1446,306,34.58062678062678
299,2140,2207,1655,479,35.376168224299064
3,4028,4108,2961,856,33.951092353525326
30,4533,5203,3424,936,36.65453342157512
300,1783,1815,1397,369,33.75378575434661
301,2059,1961,1339,714,33.77804759592035
302,3391,3081,2410,968,34.925095841934535
303,2246,2956,1402,828,33.52849510240427
304,1357,1440,1076,272,33.18201915991157
305,4256,4075,3378,864,35.14497180451128
306,2173,2136,1520,626,35.206166589967786
307,819,738,642,168,36.81929181929182
308,1370,1247,902,462,34.777372262773724
309,1293,1171,948,340,36.922660479505026
31,3880,4027,2753,1021,35.179639175257734
310,2817,2778,2149,649,36.62300319488818
311,735,716,588,146,35.74557823129252
312,1535,1540,1108,425,36.84885993485342
313,1376,1315,978,393,34.96075581395349
314,1083,1099,761,309,35.56140350877193
316,2211,2067,1668,529,33.020805065581186
317,3199,3063,2101,1092,33.93654266958424
318,1290,1175,1012,266,33.96666666666667
319,1219,1070,877,317,35.324856439704675
32,4733,4681,3344,1294,36.14536234946123
320,1715,1645,1119,591,34.820408163265306
321,3449,3693,2470,959,36.187590605972744
322,969,922,730,236,36.618163054695565
323,1523,1533,929,581,34.74720945502298
324,1341,1373,1016,315,34.841909023117076
325,2046,1976,1462,567,35.19159335288368
326,3243,3491,2218,1012,34.77058279370953
327,2166,2145,1669,479,33.38827331486611
328,1038,922,756,278,34.435452793834294
329,1694,1510,1309,380,34.20484061393152
33,3718,3998,3191,445,34.27622377622377
330,787,478,513,267,36.04574332909784
331,2679,1855,1887,787,35.208659947741694
332,755,579,606,149,37.4794701986755
333,1089,935,720,364,38.292929292929294
334,1825,1442,1191,615,34.44986301369863
335,939,864,627,309,35.657082002129926
336,869,1025,525,338,34.02186421173763
337,1443,1456,1006,426,34.68745668745669
338,1620,1625,1128,485,36.998765432098764
339,833,673,595,230,37.4561824729892
34,3371,3593,2498,786,36.06229605458321
340,2675,2579,2017,652,33.941308411214955
341,2185,2169,1542,622,35.778032036613276
342,1198,1255,978,214,38.99248747913189
343,742,672,559,178,36.6388140161725
344,599,547,447,146,33.9432387312187
345,752,777,498,251,35.422872340425535
346,554,497,345,208,36.494584837545126
347,1700,1710,1296,400,35.91
348,1158,1107,846,311,35.310017271157164
349,915,719,691,218,33.68196721311475
35,3838,3903,2943,787,35.98280354351225
350,969,849,658,302,37.75335397316822
351,2343,2392,1881,456,35.029022620571915
352,1014,860,755,257,34.30966469428008
353,659,554,495,160,36.277693474962064
354,1362,1347,901,450,35.68281938325991
355,1088,1074,722,365,32.7858455882353
356,1684,1757,1243,441,37.95665083135392
357,1395,1348,1065,328,35.4989247311828
358,1027,915,781,238,34.43524829600779
359,2485,2470,1902,566,36.34486921529175
36,6726,6948,4645,1965,37.474427594409754
360,1424,1464,1102,311,36.488061797752806
361,930,870,720,204,34.64301075268817
362,593,534,364,209,32.6070826306914
363,1243,1157,835,400,34.46339501206758
364,898,731,574,321,33.14253897550111
365,1690,1724,1207,470,33.887573964497044
366,1125,1079,680,440,35.376
367,889,814,569,312,35.8548931383577
368,819,633,477,332,38.124542124542124
369,2915,2742,1943,946,34.00034305317324
37,4017,3998,2832,1100,36.69828230022405
370,1073,1036,705,354,34.2264678471575
371,1193,1104,795,392,37.12321877619447
372,2215,2537,1656,557,35.65553047404063
373,806,880,593,208,35.93424317617866
374,1612,1651,1226,379,34.96029776674938
375,970,1097,795,153,33.656701030927834
376,607,569,417,187,35.17462932454695
377,1634,1661,1039,593,37.35006119951041
378,660,605,532,128,36.61363636363637
379,971,887,567,400,34.41194644696189
38,6225,6629,4628,1522,35.84369477911647
380,720,607,459,250,37.19722222222222
381,1454,1347,1143,301,32.81155433287483
382,1144,903,761,375,32.84702797202797
383,860,803,569,290,36.438372093023254
384,2451,2169,1760,676,35.152998776009795
385,2936,2757,2007,910,34.19618528610354
386,2184,1907,1553,619,36.0782967032967
387,827,822,616,205,34.39540507859734
388,631,578,438,192,39.15372424722663
389,2145,2533,1429,704,36.17202797202797
39,2715,2685,1809,813,36.882136279926335
390,4813,4329,3449,1330,34.49470184915853
391,3328,3432,2555,754,34.69591346153846
392,1834,1833,1340,476,36.47328244274809
393,1284,1281,958,316,34.06542056074766
394,1476,1387,1141,320,32.97289972899729
395,1227,1211,937,289,35.229828850855746
396,1534,1506,1123,406,34.628422425032596
397,1010,987,691,314,35.48712871287129
398,3085,2994,2149,923,35.567585089141005
399,1141,1112,754,379,33.930762489044696
4,2513,2904,1589,882,36.03740549144449
40,3461,3656,2697,708,36.739092747760765
400,1246,1294,771,468,36.29213483146067
401,961,1040,604,354,37.103017689906345
402,1265,1118,953,308,35.47667984189723
403,412,336,296,114,34.75
404,2466,2486,1824,604,36.14274128142741
405,2474,2405,1870,569,34.51455133387227
406,426,433,356,67,32.751173708920184
407,718,703,546,166,37.1016713091922
408,1187,1240,825,348,34.006739679865206
409,1052,1102,696,349,35.30228136882129
41,8685,7641,5879,2331,36.00886586067933
410,247,282,178,65,33.25910931174089
411,200,292,134,63,35.75
412,1096,1338,748,338,36.98996350364963
413,1475,1489,1142,333,32.827118644067795
414,1350,1195,1015,323,35.907407407407405
415,929,878,593,328,35.9924650161464
416,1206,1122,898,299,35.749585406301826
417,848,673,630,202,34.345518867924525
418,432,421,308,117,37.62731481481482
419,712,933,527,177,35.32865168539326
42,2300,2378,1474,761,36.100869565217394
420,2829,2685,2052,758,33.96465182043125
421,1129,772,922,186,36.13817537643933
422,705,573,545,152,34.12765957446808
423,632,500,495,136,34.32911392405063
424,629,599,450,177,36.24165341812401
425,1447,1575,1082,356,38.96199032480995
426,1253,1279,816,430,34.962490023942536
427,1452,1407,1139,298,34.412534435261705
428,1164,1127,606,545,35.310137457044675
429,655,733,534,120,38.50381679389313
43,5774,6500,3801,1361,34.46570834776585
430,1468,2084,972,471,34.74182561307902
432,1264,1363,970,272,38.19303797468354
433,1312,1269,884,428,37.23704268292683
434,895,862,665,226,37.26927374301676
435,617,627,513,102,34.78768233387358
436,1473,1504,1136,330,35.64154786150713
437,581,491,398,183,37.80722891566265
438,726,605,479,243,37.103305785123965
439,1618,1799,1219,390,36.29728059332509
44,2893,2778,1840,915,36.10093328724508
441,807,863,667,127,36.86988847583643
442,89,115,57,29,35.29213483146067
443,811,1080,562,187,34.72872996300863
444,791,786,510,259,37.33122629582807
445,659,694,469,161,37.77238239757208
446,1220,1367,775,406,34.790983606557376
447,2772,2754,1812,884,36.81240981240981
448,1857,1714,1439,404,41.13839526117393
449,2688,2744,2106,530,36.753348214285715
45,5447,5366,3787,1534,38.12116761520103
450,2191,2204,1760,390,36.583295298950254
451,790,499,577,203,35.268354430379745
452,1375,1248,1039,335,37.36218181818182
453,1337,567,874,441,36.07030665669409
454,993,934,784,198,33.522658610271904
455,2599,1911,1872,696,36.54713351288957
456,922,422,618,297,36.0824295010846
457,669,524,520,147,33.1270553064275
458,1252,928,863,383,34.96166134185304
459,1180,915,909,256,33.25593220338983
46,3773,4017,2431,1173,35.013782136231114
460,2334,1455,1726,600,34.26992287917738
461,2006,1410,1606,391,35.33200398803589
462,1179,1165,909,242,32.89228159457167
463,1660,1627,1046,591,33.2566265060241
464,1092,1052,878,202,32.90201465201465
465,1644,1569,1210,433,35.46411192214112
466,971,844,671,297,34.20391349124614
467,1033,1025,765,247,34.81800580832527
468,1486,1500,1196,287,37.572678331090174
469,497,483,391,100,37.31991951710262
47,5257,5553,3417,1521,35.34715617272209
470,1380,1469,1002,363,36.75144927536232
471,1464,1355,1232,222,34.575819672131146
472,873,884,685,185,35.15120274914089
473,978,753,826,148,36.77402862985685
474,2492,2410,2053,435,36.49237560192616
475,1335,1308,1001,322,33.22172284644195
476,2673,2675,1954,670,35.86008230452675
477,1627,1772,1188,397,31.81438229870928
478,1185,1009,910,270,38.79324894514768
479,745,769,401,344,39.6013422818792
48,3436,3420,2519,827,38.28550640279395
480,2237,2256,1565,657,34.58560572194904
49,3972,3517,2713,1106,36.53323262839879
5,2696,2796,1992,665,37.20919881305638
50,2096,1965,1456,596,37.17270992366412
51,3399,3895,2456,881,37.73109738158282
52,4495,5242,3267,947,36.203781979977755
53,5403,5586,4022,1305,36.21543586896169
54,4123,4449,2833,1149,35.94106233325249
55,2263,2444,1637,460,37.00220945647371
56,5513,5758,3909,1418,35.48811899147469
57,1957,1960,1426,503,37.33469596320899
58,3306,3265,2262,936,37.21718088324259
59,4433,4873,2995,1299,35.58538235957591
6,3828,3891,2532,1237,36.098223615464995
60,3855,3499,2499,1257,36.44150453955901
61,4062,4345,2831,1079,35.85007385524372
62,2500,2422,1719,712,38.172
63,3540,3676,2140,1280,34.561299435028246
64,7562,8024,5296,2118,35.55699550383496
65,2497,2763,1755,610,36.55586704044854
66,4402,4248,2916,1402,36.688550658791456
67,3380,3304,2342,983,36.835798816568044
68,3370,3759,2075,1169,35.75994065281899
69,3573,3776,2433,1017,36.357682619647356
7,4266,4594,3193,973,38.824894514767934
70,4904,5074,3201,1385,34.125815660685156
71,3822,3911,2431,1296,36.75170068027211
72,3854,3736,2442,1294,35.540996367410486
73,3785,3639,2699,1024,36.24015852047556
74,5028,5027,3361,1508,36.4027446300716
75,3269,3162,2303,896,35.69960232486999
76,2606,2559,1608,929,35.028396009209516
77,3501,3320,2409,1064,37.1033990288489
78,2261,1826,1467,763,36.58425475453339
79,3662,3519,2570,1012,36.14964500273075
8,2044,1984,1491,439,36.83317025440313
80,3674,3285,2236,1371,36.14616222101252
81,1340,1289,809,508,35.46716417910448
82,4323,4337,3249,973,39.68031459634513
83,2578,2598,1752,771,37.68463925523662
84,4933,4896,3510,1373,36.10399351307521
85,3002,3033,2331,656,37.02498334443704
86,4038,3773,2920,1074,34.88558692421991
87,3961,4360,2952,869,40.201211815198185
89,2200,2233,1458,531,36.05909090909091
9,3133,3092,2343,741,36.041174593041816
90,1208,1301,868,237,36.62334437086093
91,1640,1677,1105,488,36.40670731707317
92,2511,2542,2030,421,37.61688570290721
93,1614,2198,1149,420,37.65613382899628
94,1145,1174,783,302,35.74410480349345
95,2412,2754,1634,570,38.64469320066335
96,5118,5756,4065,974,40.860492379835875
97,1884,1981,1301,539,37.57006369426752
98,1994,2131,1534,338,37.64593781344032
99,2468,2504,1880,538,38.89748784440843
